Line	Spkr	StTime	Content	EnTime
1	ATL_Int_01	1.1560	Yo, um,	2.5706
2	ATL_Int_01	2.5706	(pause 1.03)	3.5966
3	ATL_Int_01	3.5966	This is /RD-NAME-2/,	4.7432
4	ATL_Int_01	4.7432	(pause 0.89)	5.6348
5	ATL_Int_01	5.6348	and I'm interviewing	6.9497
6	ATL_Int_01	6.9497	(pause 0.18)	7.1273
7	ATL_Int_01	7.1273	/RD-NAME-1/.	7.9422
8	ATL_Int_01	7.9422	(pause 0.30)	8.2444
9	ATL_Int_01	8.2444	/RD-NAME-1/, what's your name?	9.4638
10	ATL_Int_01	9.4638	(pause 0.24)	9.6995
11	ATL_Int_01	9.6995	Full name.	10.2700
12	ATL_se0_ag1_m_01	10.4133	/RD-NAME-4/.	11.7509
13	ATL_Int_01	12.1075	/RD-NAME-4/.	13.0752
14	ATL_Int_01	13.0752	(pause 1.86)	14.9314
15	ATL_Int_01	14.9314	Um,	15.5724
16	ATL_Int_01	15.5724	(pause 1.28)	16.8525
17	ATL_Int_01	16.8525	how old are you, bruh?	17.8187
18	ATL_se0_ag1_m_01	18.0720	Twenty-three.	18.7371
19	ATL_Int_01	20.0893	Okay,	20.7154
20	ATL_Int_01	20.7154	(pause 0.22)	20.9375
21	ATL_Int_01	20.9375	um,	21.6010
22	ATL_Int_01	21.6010	(pause 2.40)	24.0015
23	ATL_Int_01	24.0015	what's your, um,	25.1054
24	ATL_Int_01	25.1054	(pause 0.82)	25.9268
25	ATL_Int_01	25.9268	nationality?	26.8721
26	ATL_Int_01	26.8721	(pause 3.28)	30.1505
27	ATL_Int_01	30.1505	Or race?	30.9667
28	ATL_Int_01	30.9667	(pause 0.67)	31.6379
29	ATL_Int_01	31.6379	Do you-	31.9673
30	ATL_Int_01	31.9673	(pause 0.09)	32.0596
31	ATL_Int_01	32.0596	what do you consider yourself?	33.2013
32	ATL_se0_ag1_m_01	33.5862	Human.	34.2241
33	ATL_Int_01	34.7883	Human?	35.3898
34	ATL_Int_01	35.3898	(pause 0.56)	35.9511
35	ATL_Int_01	35.9511	I mean,	36.6161
36	ATL_se0_ag1_m_01	37.4648	Yeah,	37.9682
37	ATL_se0_ag1_m_01	37.9682	(pause 0.37)	38.3349
38	ATL_se0_ag1_m_01	38.3349	[human race.]	39.2657
39	ATL_Int_01	38.4384	[no but-]	38.8119
40	ATL_Int_01	38.8119	(pause 0.27)	39.0861
41	ATL_Int_01	39.0861	[<laugh>]	39.9710
42	ATL_se0_ag1_m_01	39.6676	[<laugh>]	42.1456
43	ATL_se0_ag1_m_01	42.9965	[I- yeah] d- I be putting that on job applications and [everything], bruh, like (laughing)	48.0294
44	ATL_Int_01	43.0627	[/Okay./]	43.4882
45	ATL_Int_01	43.4882	(pause 2.48)	45.9729
46	ATL_Int_01	45.9729	[<laugh>]	46.2802
47	ATL_se0_ag1_m_01	48.5345	Oh [god.]	49.2443
48	ATL_Int_01	48.8372	[So would you-] you would say other?	50.5224
49	ATL_se0_ag1_m_01	50.6623	<clears throat>	51.0252
50	ATL_se0_ag1_m_01	51.0252	(pause 0.14)	51.1617
51	ATL_se0_ag1_m_01	51.1617	Yeah.	51.5250
52	ATL_Int_01	51.5623	Other than black,	52.4649
53	ATL_Int_01	52.4649	(pause 0.08)	52.5464
54	ATL_Int_01	52.5464	other than, um,	53.6279
55	ATL_Int_01	53.6279	(pause 0.95)	54.5758
56	ATL_Int_01	54.5758	Hispanic.	55.2815
57	ATL_se0_ag1_m_01	55.9296	Yeah, other.	56.7223
58	ATL_Int_01	57.1979	Other.	57.5463
59	ATL_Int_01	57.5463	(pause 0.19)	57.7393
60	ATL_Int_01	57.7393	Okay.	58.2564
61	ATL_Int_01	58.2564	(pause 1.31)	59.5641
62	ATL_Int_01	59.5641	Let's see, um,	60.8594
63	ATL_Int_01	60.8594	(pause 1.11)	61.9728
64	ATL_Int_01	61.9728	how long you been living in Atlanta?	63.4631
65	ATL_se0_ag1_m_01	64.8433	Well I-	65.2929
66	ATL_se0_ag1_m_01	65.2929	(pause 0.09)	65.3846
67	ATL_se0_ag1_m_01	65.3846	I never really lived in Atlanta.	67.2811
68	ATL_Int_01	68.2777	[Well-]	68.6112
69	ATL_se0_ag1_m_01	68.5623	[I] been living in Georgia my whole life though.	71.0823
70	ATL_Int_01	71.5239	Okay.	71.9758
71	ATL_Int_01	71.9758	(pause 1.50)	73.4776
72	ATL_Int_01	73.4776	What part of Georgia?	74.4314
73	ATL_se0_ag1_m_01	74.8998	Stone Mountain.	75.8629
74	ATL_Int_01	76.1893	[Okay.]	76.6572
75	ATL_se0_ag1_m_01	76.2996	[Yeah.]	76.5904
76	ATL_se0_ag1_m_01	77.2288	And Conyers.	78.0987
77	ATL_Int_01	79.0527	Okay.	79.5217
78	ATL_Int_01	79.5217	(pause 1.74)	81.2622
79	ATL_Int_01	81.2622	How do you- um,	82.3306
80	ATL_Int_01	82.3306	(pause 1.47)	83.8056
81	ATL_Int_01	83.8056	how was growing up in	85.0319
82	ATL_Int_01	85.0319	(pause 0.21)	85.2452
83	ATL_Int_01	85.2452	Stone Mountain?	85.9519
84	ATL_se0_ag1_m_01	87.6450	Well, it's tricky. It was good, it was a little good, was a little bad, you know.	91.4137
85	ATL_Int_01	96.6873	What'd you used to do	97.6091
86	ATL_Int_01	97.6091	(pause 2.35)	99.9587
87	ATL_Int_01	99.9587	for [fun?]	100.5137
88	ATL_se0_ag1_m_01	100.1068	[W-]	100.3196
89	ATL_se0_ag1_m_01	101.1221	for fun?	101.8971
90	ATL_se0_ag1_m_01	101.8971	(pause 0.11)	102.0055
91	ATL_se0_ag1_m_01	102.0055	Shit, had-	103.0395
92	ATL_se0_ag1_m_01	103.0395	(pause 2.89)	105.9264
93	ATL_se0_ag1_m_01	105.9264	shit, I had to like-	107.1616
94	ATL_se0_ag1_m_01	107.1616	(pause 0.41)	107.5672
95	ATL_se0_ag1_m_01	107.5672	like, make fun.	108.7925
96	ATL_se0_ag1_m_01	108.7925	(pause 0.13)	108.9258
97	ATL_se0_ag1_m_01	108.9258	You know what I'm saying, like	110.1283
98	ATL_se0_ag1_m_01	110.1283	(pause 1.81)	111.9410
99	ATL_se0_ag1_m_01	111.9410	it wasn't really, you know what I'm saying, like too much to do in the house.	114.7951
100	ATL_se0_ag1_m_01	114.7951	(pause 0.89)	115.6879
101	ATL_se0_ag1_m_01	115.6879	You know what I'm saying, so we go outside, maybe hoop, play football.	118.7048
102	ATL_se0_ag1_m_01	118.7048	(pause 1.02)	119.7288
103	ATL_se0_ag1_m_01	119.7288	Sometime we play like-	120.9602
104	ATL_se0_ag1_m_01	120.9602	(pause 0.57)	121.5338
105	ATL_se0_ag1_m_01	121.5338	we had a tennis ball or some shit, we'd play baseball.	124.2415
106	ATL_Int_01	124.6210	Mm-hm.	124.9885
107	ATL_se0_ag1_m_01	125.2831	Uh,	125.9056
108	ATL_se0_ag1_m_01	125.9056	(pause 1.50)	127.4089
109	ATL_se0_ag1_m_01	127.4089	water gun fights with the b-	129.1917
110	ATL_se0_ag1_m_01	129.1917	(pause 0.11)	129.3031
111	ATL_se0_ag1_m_01	129.3031	with the- you know.	130.2914
112	ATL_se0_ag1_m_01	130.2914	(pause 0.98)	131.2685
113	ATL_se0_ag1_m_01	131.2685	Uh,	131.9323
114	ATL_Int_01	131.9820	<laugh>	132.5485
115	ATL_se0_ag1_m_01	133.5931	all kind- I don't know, all kind of stuff, man.	135.6167
116	ATL_se0_ag1_m_01	135.6167	(pause 0.90)	136.5196
117	ATL_se0_ag1_m_01	136.5196	Just random- like,	137.5759
118	ATL_se0_ag1_m_01	137.5759	(pause 0.13)	137.7062
119	ATL_se0_ag1_m_01	137.7062	random fun shit. Climbing trees.	139.6138
120	ATL_se0_ag1_m_01	139.6138	(pause 0.26)	139.8722
121	ATL_se0_ag1_m_01	139.8722	We used to race bikes.	140.9660
122	ATL_se0_ag1_m_01	140.9660	(pause 0.80)	141.7641
123	ATL_se0_ag1_m_01	141.7641	Yeah, we was big on that shit. It was like	143.2519
124	ATL_Int_01	143.3894	[Mm-hm.]	143.8300
125	ATL_se0_ag1_m_01	143.6925	[niggas] in other neighborhoods would come to our street tryna race us.	146.9006
126	ATL_Int_01	146.9585	/??/ We wasn't even doing that.	148.7165
127	ATL_se0_ag1_m_01	149.0244	Yeah, man, it was- it was-	150.4070
128	ATL_se0_ag1_m_01	150.4070	(pause 0.26)	150.6631
129	ATL_se0_ag1_m_01	150.6631	it was cool.	151.3617
130	ATL_se0_ag1_m_01	151.3617	(pause 1.53)	152.8895
131	ATL_se0_ag1_m_01	152.8895	It was co- like I said, man, it was good and bad.	154.9839
132	ATL_se0_ag1_m_01	154.9839	(pause 0.64)	155.6230
133	ATL_se0_ag1_m_01	155.6230	Used to beat niggas up sometimes.	157.5016
134	ATL_Int_01	158.1701	You know that happen	158.9849
135	ATL_se0_ag1_m_01	159.1369	[Yeah.]	159.4918
136	ATL_Int_01	159.1504	[time to] time.	159.7566
137	ATL_se0_ag1_m_01	164.6740	Real, real.	165.3547
138	ATL_Int_01	166.3852	So your kids playing outside now?	167.9716
139	ATL_se0_ag1_m_01	168.5481	Shit, sometime. It depend.	170.1890
140	ATL_se0_ag1_m_01	170.1890	(pause 1.32)	171.5127
141	ATL_se0_ag1_m_01	171.5127	If they not hooping, they not really-	173.0746
142	ATL_se0_ag1_m_01	173.0746	(pause 0.49)	173.5637
143	ATL_se0_ag1_m_01	173.5637	you know,	174.0143
144	ATL_Int_01	174.6431	Mm-hm.	175.0166
145	ATL_se0_ag1_m_01	175.3605	they're not doing too much.	176.5294
146	ATL_Int_01	177.1905	Mkay.	177.5750
147	ATL_Int_01	177.5750	(pause 2.98)	180.5552
148	ATL_Int_01	180.5552	I was more adventurous back then.	182.3800
149	ATL_se0_ag1_m_01	182.5254	Oh yeah, it was a lot to get into.	184.2368
150	ATL_Int_01	186.7994	Too much crazy shit going on in the world now [though.]	188.9926
151	ATL_se0_ag1_m_01	188.8461	[Yeah] man, it's the worst [shit to get into.]	190.9846
152	ATL_Int_01	190.1706	[I don't know what kind of] number this is.	191.8968
153	ATL_Int_01	193.7115	Hello?	194.2315
154	ATL_se0_ag1_m_01	194.2977	<laugh>	194.6806
155	ATL_Int_01	199.3819	Hello?	199.8357
156	ATL_Int_01	199.8357	(pause 3.86)	203.6969
157	ATL_Int_01	203.6969	I don't wanna say,	204.3493
158	ATL_Int_01	204.3493	(pause 0.13)	204.4769
159	ATL_Int_01	204.4769	sounded like a goddamn assassin.	206.1264
160	ATL_se0_ag1_m_01	208.5394	[<laugh>]	211.2758
161	ATL_Int_01	210.7346	[Might be in some] shit.	211.7889
162	ATL_Int_01	211.8902	<laugh>	212.3253
163	ATL_se0_ag1_m_01	212.5712	There will be some shit with it.	213.9625
164	ATL_Int_01	213.9887	Mm-hm.	214.6290
165	ATL_se0_ag1_m_01	215.2621	Then I'll wait for you to get whacked back here, bruh.	217.4602
166	ATL_Int_01	217.8039	Oh no.	218.5881
167	ATL_se0_ag1_m_01	218.7812	[<laugh>]	219.2094
