Line	Spkr	StTime	Content	EnTime
1	DCB_int_01	0.4056	And where were you born?	1.5736
2	DCB_se1_ag1_m_01	2.0923	Washington DC.	2.8877
3	DCB_int_01	3.2719	And what neighborhood?	4.0042
4	DCB_se1_ag1_m_01	4.7995	Congress Heights.	5.5318
5	DCB_int_01	6.1050	Congress Heights?	6.7203
6	DCB_se1_ag1_m_01	6.7894	Yes.	7.2546
7	DCB_int_01	8.2840	And where's that?	8.6952
8	DCB_se1_ag1_m_01	9.1514	Uh,	9.6047
9	DCB_se1_ag1_m_01	9.6047	(pause 0.62)	10.2289
10	DCB_se1_ag1_m_01	10.2289	up the street.	10.7582
11	DCB_int_01	11.6215	[Southeast?]	12.1835
12	DCB_se1_ag1_m_01	11.6875	[/I would say-/] yeah.	12.4548
13	DCB_int_01	13.8994	Have you lived in any other neighborhoods?	15.4121
14	DCB_se1_ag1_m_01	15.7812	No.	16.1654
15	DCB_int_01	16.2885	Have you lived anywhere else besides DC?	17.7471
16	DCB_se1_ag1_m_01	18.1163	Uh, when I was three I m- moved to Pennsylvania.	20.4549
17	DCB_int_01	20.7664	For how long?	21.3006
18	DCB_se1_ag1_m_01	21.9549	Uh, for a year.	22.7563
19	DCB_int_01	28.8159	Cool.	29.1972
20	DCB_int_01	29.1972	(pause 0.70)	29.8964
21	DCB_int_01	29.8964	Um, currently you are a senior? No- or did you [graduate?]	33.0568
22	DCB_se1_ag1_m_01	32.6816	[I'm a-]	33.0087
23	DCB_se1_ag1_m_01	33.1108	I'm a graduate.	33.7921
24	DCB_int_01	33.9031	Okay.	34.2452
25	DCB_int_01	34.2452	(pause 0.38)	34.6294
26	DCB_int_01	34.6294	What- where'd you go to school?	35.4494
27	DCB_se1_ag1_m_01	36.0460	/RD-SCHOOL-6/.	36.8860
28	DCB_int_01	37.3636	/RD-SCHOOL-2/.	38.1139
29	DCB_int_01	38.1139	(pause 0.20)	38.3090
30	DCB_int_01	38.3090	Cool.	38.7877
31	DCB_int_01	38.7877	(pause 2.43)	41.2202
32	DCB_int_01	41.2202	And-	42.6099
33	DCB_int_01	42.6099	(pause 0.86)	43.4683
34	DCB_int_01	43.4683	so what are your plans now?	44.4197
35	DCB_se1_ag1_m_01	44.9238	Uh,	45.3951
36	DCB_se1_ag1_m_01	45.3951	(pause 1.01)	46.4095
37	DCB_se1_ag1_m_01	46.4095	I want to-	46.7817
38	DCB_se1_ag1_m_01	46.7817	(pause 0.12)	46.8988
39	DCB_se1_ag1_m_01	46.8988	I'm	47.1449
40	DCB_se1_ag1_m_01	47.1449	(pause 0.27)	47.4179
41	DCB_se1_ag1_m_01	47.4179	going to pursue	48.1593
42	DCB_se1_ag1_m_01	48.1593	(pause 0.19)	48.3484
43	DCB_se1_ag1_m_01	48.3484	IT.	48.7990
44	DCB_se1_ag1_m_01	48.7990	(pause 1.89)	50.6894
45	DCB_se1_ag1_m_01	50.6894	And I'm'a start a, uh,	51.7267
46	DCB_se1_ag1_m_01	51.7267	(pause 1.86)	53.5856
47	DCB_se1_ag1_m_01	53.5856	a non-profit	54.9776
48	DCB_se1_ag1_m_01	54.9776	(pause 1.68)	56.6559
49	DCB_se1_ag1_m_01	56.6559	program	57.1856
50	DCB_se1_ag1_m_01	57.1856	(pause 0.16)	57.3492
51	DCB_se1_ag1_m_01	57.3492	called Big Brother.	58.1039
52	DCB_int_01	61.4910	And what is Big Brother?	62.3524
53	DCB_se1_ag1_m_01	63.0097	[It's bas-]	63.4059
54	DCB_int_01	63.0547	[Or what do] you /want it/ to be?	64.0362
55	DCB_se1_ag1_m_01	64.5854	it's basically from ages six to	66.5633
56	DCB_se1_ag1_m_01	66.5633	(pause 0.21)	66.7704
57	DCB_se1_ag1_m_01	66.7704	twenty-five,	67.3376
58	DCB_int_01	67.5417	Mm-hm.	67.9690
59	DCB_se1_ag1_m_01	68.1689	showing	68.6903
60	DCB_se1_ag1_m_01	68.6903	(pause 0.51)	69.1954
61	DCB_se1_ag1_m_01	69.1954	that	69.5075
62	DCB_se1_ag1_m_01	69.5075	(pause 1.34)	70.8491
63	DCB_se1_ag1_m_01	70.8491	all young black men shouldn't	72.4968
64	DCB_se1_ag1_m_01	72.4968	(pause 0.15)	72.6468
65	DCB_se1_ag1_m_01	72.6468	go to the streets	73.4692
66	DCB_se1_ag1_m_01	73.4692	(pause 0.34)	73.8114
67	DCB_se1_ag1_m_01	73.8114	they first answer.	74.6727
68	DCB_se1_ag1_m_01	74.6727	(pause 0.66)	75.3300
69	DCB_se1_ag1_m_01	75.3300	Or they first try.	76.0954
70	DCB_se1_ag1_m_01	76.0954	(pause 0.90)	76.9957
71	DCB_se1_ag1_m_01	76.9957	So basically it is	78.4004
72	DCB_se1_ag1_m_01	78.4004	(pause 0.90)	79.3007
73	DCB_se1_ag1_m_01	79.3007	a mentoring program	80.2852
74	DCB_se1_ag1_m_01	80.2852	(pause 1.01)	81.3000
75	DCB_se1_ag1_m_01	81.3000	from,	81.7507
76	DCB_se1_ag1_m_01	81.7507	(pause 0.55)	82.2961
